ra,dec,sp_type,flux
188.0415655308,-73.00105682373,"K1III",5.874
356.17026910691993,-78.79144057673,"K1III",5.738
283.69641925078,-87.60584331391,"K3III",5.278
358.02697159435,-82.01882321865,"G6/8III",5.106
353.33157876757,-77.38533181828,"G2IV-V",5.806
180.65705247079998,-69.19228861704,"B9V",5.876
181.95781550547997,-75.36701805811,"K2II/III",5.165
181.72040893237084,-64.61373070048556,"F2V",4.136
181.08008365342997,-63.165699073649996,"B3V",4.716
183.09158275375998,-62.950773878670006,"B8Ia/ab",5.98
0.26909537663,-48.80987438889,"G6/8III",5.698
0.33382952730000004,-50.33737026277001,"M2III",5.524
183.78632699611498,-58.748924076838335,"B2IV",2.752
2.3526670558199996,-45.74742390816,"K0III",3.87
5.16267594946,-69.62491873970001,"B9V",5.499
3.3317578318300005,-84.99397718198,"M0/1III",5.77
2.50905204359,-82.22404708058,"K1/2III",5.283
0.39874771198458336,-77.06572535204721,"K3III",4.783
174.873192067665,-65.3978054020789,"G5/8IIIp+A0/1V",5.095
177.06056292066,-66.81490961192,"K4III",4.728
174.45157597618,-67.6203789046,"K0III",5.929
1.17211640081,-71.43689009672,"B8IV/V",5.585
177.48589755951,-70.2257891191,"G6Ib",4.964
175.22347411844,-62.090101521689995,"G3Ib",4.92
175.87996798503,-62.48939643496,"G0_0-IaFe1",5.03
178.75004930309,-63.27918076311,"A2Ib",5.96
177.42111389338,-63.788472407499995,"B3V",4.308
179.56343684517,-56.31731203548,"B8III",5.436
178.04283138144,-56.9877416838,"A2V",5.559
176.82975515125,-57.6965007079,"K5III",5.407
8.182939060709998,-63.031500563600005,"A0V",5.09
7.886116900947914,-62.95821745653945,"B9.5Va",4.289
13.75129619949,-69.52708463953,"K2III",5.454
10.618216175280002,-65.46802960324,"F6V",5.381
177.78621333642,-45.17346991659001,"K3III",4.46
12.14757078139,-74.92343527945,"K4III",5.083
134.17073217377,-85.66315211796,"A8/9IV",5.419
150.1824738481,-82.21467012867,"A0IV",5.52
160.46466843894,-79.78328811002,"B5III",5.969
171.04636313613,-72.2566080797,"B2V",5.583
161.44585968076748,-80.54018818094444,"B3V",4.433
143.47239735339753,-80.94125796664918,"B4IV",5.059
24.48148621379,-82.9749962927,"G1V",5.87
173.08331707619,-66.96182342981,"K1IIICNIb/II",5.881
174.0931859676,-61.05243374601,"B3IV",5.819
173.94532537821,-63.01983499360999,"B9III",3.14
175.17700326486,-53.96860651696,"M1III",5.94
176.43320070931,-45.690133643530004,"B6III",5.271
7.608596955460002,-48.21482096602,"F2V",5.664
8.92156445206,-48.00090693428,"F5V+",5.51
10.838375515474167,-57.46306349829973,"A0IV",4.361
13.40782389718,-62.871359870090004,"M4III",5.748
173.98160379798,-47.64163993519,"F0V",5.252
174.39165521197,-47.74729808688,"K2III",5.456
146.58596371018,-76.77611876991,"G8III",5.44
65.24196711183,-81.57992190047,"F0/2III",5.764
74.71236283795,-82.47051585752,"G8/K0III",5.828
46.88400999708,-78.98923274596,"F0III",5.667
37.91884605508001,-79.10941608214,"G8III",5.275
131.47978591725,-79.504373776,"K5III",5.77
156.0987730314175,-74.0316110835011,"F3V",4.01
166.63511032196,-62.42411405976001,"G7.5III",4.606
167.147453191,-58.975038633492225,"G5_0-Ia",3.83
168.15005513891,-60.31762630127,"A5Iae:",4.62
168.3782605063,-59.61931742231,"B2III",5.74
9.96645883024,-44.79629201011001,"K1IIICNII",5.998
10.331547459460834,-46.08498136327806,"G8III",4.59
173.80534309151,-47.372579094939994,"M3/4III",5.675
64.49695747213,-80.21403189826,"K2/3III+A",5.68
87.56994058245,-79.36136108773,"B9V",5.451
104.14364309959001,-79.42019215656,"B9.5/A0III/IV",5.449
48.99027386037,-77.38845401698,"F5IV-V",5.506
171.6969395595833,-53.15991619333333,"K0III",5.806
111.40874478516,-79.09419105881,"K2/3III",5.522
21.272110744589998,-64.3694760649,"K5III",5.9
35.7179553982,-73.64579243407,"K1III",5.987
12.671609824219997,-50.98681727811,"F3III",5.225
28.733881019829997,-67.64730317084,"G8IIIb",4.685
153.43425247860876,-70.0379064474,"B7III",3.33
155.74227742060336,-66.90149599916556,"B8V",4.99
139.3648732786,-74.73459027637,"A0V",5.857
125.16057952578583,-77.48447920000307,"K2IIIbCN0.5",4.337
161.62328393396,-64.26323713286,"B6-7V",5.229
160.96330875093,-64.24904188817,"B3IV/V",5.748
160.0476977282,-65.10020905752,"ApSi",5.52
160.88453953976,-60.566620770969166,"K4III",4.545
160.669026899,-59.21575841698999,"B2.5Ia",5.51
163.82175750963,-60.5170011018,"K0III",5.92
168.41413843323,-53.23181499985,"K2III",5.74
33.86927389828,-67.74636331948,"K2III",5.658
35.43725985508,-68.65941858958,"A2V",4.09
136.4098972987,-70.53849835625,"B3III",4.652
168.13776824163,-49.10099772866001,"A3IV/V",5.367
136.286721332445,-72.60270255847888,"F8II+DA",4.467
154.27073140194167,-61.33230464139612,"K2.5II",3.35
152.17813053555,-65.81547674803,"K0III",5.258
159.3627838715,-58.73333781697,"A0Ia",5.45
159.74841783106,-58.81685400282,"M1III",5.979
159.08549755222,-59.56439383739,"K1III",5.088
158.89707441662253,-57.557633601364444,"K3II-IIb",4.43
156.96970738780956,-58.73940617500779,"F2II",3.81
